ds,yhat,yhat_lower,yhat_upper
2014-01-01,16956.114468409338,3195.6027687383057,29489.78514229457
2014-02-01,3734.545825552268,-9767.270085468255,16982.51191768129
2014-03-01,42557.6223430637,28883.170759936078,55005.731734050416
2014-04-01,26439.241492264275,13686.595705594107,40007.9710267212
2014-05-01,26642.88928768367,13526.494961360331,39647.08207764514
2014-06-01,27772.56269950425,14576.197990888837,40806.922069431064
2014-07-01,27547.209025680713,14477.900839327527,40586.61416990473
2014-08-01,31866.760861644027,17903.764239616892,43816.9967663949
2014-09-01,68461.81651255384,55421.630358883674,81548.71372334515
2014-10-01,36668.76251871218,23211.95727642726,49693.965520979036
2014-11-01,78435.4269718966,65058.22451183101,91209.45116115635
2014-12-01,69793.50696495225,57020.60249313637,82541.2810160737
2015-01-01,17863.069793229988,4964.7305464573055,30514.573839281045
2015-02-01,13096.006566392989,96.75400564219224,26240.775094765875
2015-03-01,47137.453760707656,33498.42021828177,59953.14031674333
2015-04-01,32766.496773825587,19389.257790397794,46073.72060014426
2015-05-01,25301.90633927506,11804.508261025743,39986.12331186781
2015-06-01,30574.12786630623,17346.118694370532,43167.08142586073
2015-07-01,33070.95974592073,19245.703326394523,46388.13223110497
2015-08-01,40373.64089199394,26976.643312973098,54136.68676088905
2015-09-01,75927.09614088462,62193.41429039577,87739.45784426636
2015-10-01,34855.24164098242,21109.73125373596,48509.54619013819
2015-11-01,85261.43001708639,71505.07086276176,99042.8043800726
2015-12-01,73814.40127474106,60089.113299547535,87586.86188554256
2016-01-01,20141.22798905355,6419.714386719121,33284.49959713332
2016-02-01,24221.891950609832,11100.157108671003,37392.862839400994
2016-03-01,52813.62527592363,39768.74334880526,65696.96704086442
2016-04-01,33512.32204160497,20301.029574678738,46542.60907511223
2016-05-01,49671.05859958508,35977.81319222954,63005.58904703256
2016-06-01,43396.235672274044,30972.831666954266,57678.86327183169
2016-07-01,38166.06444105569,24821.55700624313,50334.489511327054
2016-08-01,36678.089008562085,23197.380726587766,50084.024404850585
2016-09-01,75248.75288544156,62849.202248363625,87839.2143879657
2016-10-01,62781.53831703224,49804.94101503774,77332.80141009763
2016-11-01,88722.81726964626,75617.98810281714,100922.96824001076
2016-12-01,86729.86591133616,73351.49679923346,99402.0642732884
2017-01-01,39983.44081921046,27566.39550557757,54591.65791206344
2017-02-01,18713.219942044387,5905.153130027667,31655.58347958486
2017-03-01,62532.433127624856,50214.05171976887,76403.7063086318
2017-04-01,45054.40796680677,30239.212080933543,58976.34577569611
2017-05-01,53409.41013780559,40528.37657497104,66881.73312214093
2017-06-01,50972.09234047105,37409.22211809434,64823.84265616061
2017-07-01,48443.19985320735,34561.941190807425,62866.92911959054
2017-08-01,50114.70720906969,37366.829326692416,63585.507818873724
2017-09-01,88000.2060553756,74683.49195620006,100554.55783947531
2017-10-01,66019.91050075389,52757.14574796677,80679.04990518438
2017-11-01,100051.69021292977,87050.87673275982,112975.53484116873
2017-12-01,94971.1706840304,81744.96888656834,109017.86550492077
2018-01-01,45772.77035736233,32527.9969166318,58916.40012632331
2018-02-01,32975.255178651925,19377.01847793755,47056.221893954775
2018-03-01,72181.34772876256,57533.04021613615,85117.7594785774
2018-04-01,56487.020342602555,43650.74326454409,69920.25659656401
2018-05-01,57101.04245882154,43819.90868776919,70436.17130452365
2018-06-01,58654.76933629153,45879.30228515855,71852.69097902923
2018-07-01,58839.78998405668,44580.47084025252,72099.6767815374
2018-08-01,63583.39528481272,50616.55671803903,76606.66100153771
2018-09-01,100602.50439936866,87550.64145575395,114432.88289294056
2018-10-01,69219.82472513926,56612.91204005901,82923.08240677213
2018-11-01,111410.542641287,97890.4463134586,124849.26154852846
2018-12-01,103178.99695326967,90767.44989016883,116023.15721943801
